# zLo  zHi   number   lgMcomp   lgMchar   Phi_1    alpha_1     Phi_2    alpha_2    lgrhostar
# 
  0.2  0.5   26650    7.93      10.88    1.68e-3   -0.69      0.77e-3   -1.42      8.308
  0.5  0.8   29418    8.70      11.03    1.22e-3   -1.00      0.16e-3   -1.64      8.226
  0.8  1.1   27590    9.13      10.87    2.03e-3   -0.52      0.29e-3   -1.62      8.251
  1.1  1.5   29383    9.42      10.71    1.35e-3   -0.08      0.67e-3   -1.46      8.086
  1.5  2.0   20529    9.67      10.74    0.88e-3   -0.24      0.33e-3   -1.6       7.909
  2.0  2.5   7162     10.04     10.74    0.62e-3   -0.22      0.15e-3   -1.6       7.682
  2.5  3.0   3143     10.24     10.76    0.26e-3   -0.15      0.14e-3   -1.6       7.489
  3.0  4.0   1817     10.27     10.74    0.03e-3    0.95      0.09e-3   -1.6       7.120
