# zLo  zHi    lgMchar   Phi_1    alpha_1     Phi_2    alpha_2
# 
  0.2  0.5    10.26    2.410e-3    -1.29    1.30e-3     1.01
  0.5  0.8    10.40    1.661e-3    -1.32    0.86e-3     0.84
  0.8  1.1    10.35    1.739e-3    -1.29    0.95e-3     0.81
  1.1  1.5    10.42    1.542e-3    -1.21    0.49e-3     1.11
  1.5  2.0    10.40    1.156e-3    -1.24    0.46e-3     0.90
  2.0  2.5    10.45    0.441e-3    -1.50    0.38e-3     0.59
  2.5  3.0    10.39    0.441e-3    -1.52    0.13e-3     1.05
  3.0  3.5    10.83    0.086e-3    -1.78          0        0
  3.5  4.5    10.77    0.052e-3    -1.84          0        0
  4.5  5.5    11.30    0.003e-3    -2.12          0        0
