# zLo  zHi    lgMchar   Phi_1    alpha_1     Phi_2    alpha_2
# 
  0.2  0.5    10.83    0.098e-3    -1.30    1.58e-3    -0.39
  0.5  0.8    10.83    0.012e-3    -1.46    1.44e-3    -0.21
  0.8  1.1    10.75    1.724e-3    -0.07          0        0
  1.1  1.5    10.56    0.757e-3     0.53          0        0
  1.5  2.0    10.54    0.251e-3     0.93          0        0
  2.0  2.5    10.69    0.068e-3     0.17          0        0
  2.5  3.0    10.24    0.028e-3     1.15          0        0
  3.0  3.5    10.10    0.010e-3     1.15          0        0
  3.5  4.0    10.27    0.004e-3     1.15          0        0
